sku_id,zone,velocity_class,count_date,system_qty,counted_qty
SKU-0012,D,C,2025-07-01,93,93
SKU-0016,A,B,2025-07-01,114,114
SKU-0024,C,B,2025-07-01,114,114
SKU-0067,C,C,2025-07-01,36,36
SKU-0075,B,C,2025-07-01,96,96
SKU-0095,A,C,2025-07-01,25,25
SKU-0122,D,C,2025-07-01,247,247
SKU-0138,B,B,2025-07-01,59,59
SKU-0172,C,B,2025-07-01,27,27
SKU-0010,C,C,2025-07-02,52,52
SKU-0050,A,B,2025-07-02,37,37
SKU-0107,E,C,2025-07-02,59,59
SKU-0139,E,B,2025-07-02,96,96
SKU-0141,A,C,2025-07-02,319,319
SKU-0152,B,A,2025-07-02,87,87
SKU-0155,E,B,2025-07-02,98,105
SKU-0167,A,C,2025-07-02,144,144
SKU-0173,D,C,2025-07-02,55,55
SKU-0176,B,C,2025-07-02,91,91
SKU-0195,E,A,2025-07-02,155,155
SKU-0223,C,A,2025-07-02,28,28
SKU-0018,D,B,2025-07-03,26,26
SKU-0027,C,B,2025-07-03,178,178
SKU-0038,C,C,2025-07-03,90,90
SKU-0062,C,A,2025-07-03,210,210
SKU-0076,A,C,2025-07-03,9,9
SKU-0105,B,B,2025-07-03,162,162
SKU-0128,D,C,2025-07-03,74,74
SKU-0153,C,C,2025-07-03,90,90
SKU-0166,D,C,2025-07-03,209,209
SKU-0174,C,A,2025-07-03,34,34
SKU-0205,C,C,2025-07-03,75,75
SKU-0225,C,C,2025-07-03,76,76
SKU-0227,A,B,2025-07-03,41,41
SKU-0247,D,B,2025-07-03,57,57
SKU-0029,C,B,2025-07-04,60,60
SKU-0046,B,A,2025-07-04,102,111
SKU-0049,C,C,2025-07-04,674,674
SKU-0058,D,A,2025-07-04,80,80
SKU-0108,C,B,2025-07-04,50,50
SKU-0163,A,C,2025-07-04,60,60
SKU-0177,A,B,2025-07-04,428,428
SKU-0191,C,A,2025-07-04,67,67
SKU-0249,B,B,2025-07-04,40,40
SKU-0250,B,B,2025-07-04,25,25
SKU-0080,D,B,2025-07-05,133,133
SKU-0099,B,A,2025-07-05,354,354
SKU-0125,D,B,2025-07-05,12,12
SKU-0134,B,B,2025-07-05,683,683
SKU-0148,C,C,2025-07-05,171,171
SKU-0149,C,B,2025-07-05,72,72
SKU-0179,A,C,2025-07-05,174,174
SKU-0239,A,C,2025-07-05,41,41
SKU-0001,B,C,2025-07-06,116,116
