po_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,expected_qty,received_qty,status
PO-000417,SUP-002,2024-07-01,2024-07-04,2024-07-04,141,141,Closed
PO-004341,SUP-039,2024-07-01,2024-07-04,2024-07-03,163,163,Closed
PO-001712,SUP-007,2024-07-01,2024-07-12,2024-07-12,506,506,Closed
PO-003227,SUP-018,2024-07-01,2024-07-06,2024-07-06,191,191,Closed
PO-002265,SUP-009,2024-07-01,2024-07-10,2024-07-10,605,605,Closed
PO-000944,SUP-004,2024-07-01,2024-07-09,2024-07-09,595,595,Closed
PO-000701,SUP-003,2024-07-01,2024-07-08,2024-07-07,238,238,Closed
PO-002696,SUP-013,2024-07-01,2024-07-08,2024-07-08,310,310,Closed
PO-000943,SUP-004,2024-07-01,2024-07-10,2024-07-10,40,40,Closed
PO-000006,SUP-001,2024-07-02,2024-07-04,2024-07-04,298,298,Closed
PO-000003,SUP-001,2024-07-02,2024-07-04,2024-07-04,532,532,Closed
PO-000004,SUP-001,2024-07-03,2024-07-08,2024-07-08,444,444,Closed
PO-001993,SUP-008,2024-07-03,2024-07-08,2024-07-08,528,528,Closed
PO-004254,SUP-037,2024-07-03,2024-07-08,2024-07-08,390,390,Closed
PO-000416,SUP-002,2024-07-04,2024-07-09,2024-07-09,328,328,Closed
PO-000949,SUP-004,2024-07-04,2024-07-11,2024-07-11,318,318,Closed
PO-001994,SUP-008,2024-07-04,2024-07-09,2024-07-09,228,228,Closed
PO-003329,SUP-019,2024-07-04,2024-07-17,2024-07-16,87,87,Closed
PO-000007,SUP-001,2024-07-04,2024-07-08,2024-07-08,217,217,Closed
PO-000950,SUP-004,2024-07-04,2024-07-10,2024-07-10,334,334,Closed
PO-002266,SUP-009,2024-07-04,2024-07-12,2024-07-12,149,149,Closed
PO-000692,SUP-003,2024-07-04,2024-07-13,2024-07-13,358,358,Closed
PO-003626,SUP-022,2024-07-04,2024-07-11,2024-07-10,375,375,Closed
PO-000412,SUP-002,2024-07-04,2024-07-10,2024-07-09,199,199,Closed
PO-001714,SUP-007,2024-07-04,2024-07-15,2024-07-15,1825,1825,Closed
PO-001179,SUP-005,2024-07-04,2024-07-09,2024-07-09,299,299,Closed
PO-000695,SUP-003,2024-07-05,2024-07-15,2024-07-14,129,129,Closed
PO-003622,SUP-022,2024-07-06,2024-07-13,2024-07-13,110,110,Closed
PO-000419,SUP-002,2024-07-06,2024-07-11,2024-07-11,381,381,Closed
PO-003226,SUP-018,2024-07-06,2024-07-10,2024-07-10,130,130,Closed
PO-000017,SUP-001,2024-07-06,2024-07-10,2024-07-10,205,205,Closed
PO-001458,SUP-006,2024-07-06,2024-07-15,2024-07-15,166,166,Closed
PO-003998,SUP-029,2024-07-06,2024-07-15,2024-07-15,235,235,Closed
PO-001720,SUP-007,2024-07-06,2024-07-19,2024-07-19,929,929,Closed
PO-003625,SUP-022,2024-07-06,2024-07-12,2024-07-12,366,366,Closed
PO-003879,SUP-025,2024-07-06,2024-07-16,2024-07-16,377,377,Closed
PO-003912,SUP-026,2024-07-06,2024-07-11,2024-07-11,288,288,Closed
PO-003736,SUP-023,2024-07-07,2024-07-10,2024-07-10,418,418,Closed
PO-001987,SUP-008,2024-07-07,2024-07-12,2024-07-12,410,306,Closed
PO-001455,SUP-006,2024-07-08,2024-07-17,2024-07-17,266,266,Closed
PO-001721,SUP-007,2024-07-08,2024-07-19,2024-07-19,400,400,Closed
PO-002790,SUP-014,2024-07-08,2024-07-17,2024-07-17,272,272,Closed
PO-000010,SUP-001,2024-07-08,2024-07-11,2024-07-11,98,98,Closed
PO-001713,SUP-007,2024-07-08,2024-07-21,2024-07-21,290,290,Closed
PO-001173,SUP-005,2024-07-09,2024-07-13,2024-07-13,157,157,Closed
PO-003837,SUP-024,2024-07-09,2024-07-13,2024-07-13,296,296,Closed
PO-002366,SUP-010,2024-07-09,2024-07-14,2024-07-14,96,96,Closed
PO-001717,SUP-007,2024-07-09,2024-07-21,2024-07-21,360,360,Closed
PO-004253,SUP-037,2024-07-09,2024-07-15,2024-07-15,976,842,Closed
PO-001172,SUP-005,2024-07-09,2024-07-12,2024-07-12,116,116,Closed
PO-004051,SUP-031,2024-07-09,2024-07-23,2024-07-22,148,126,Closed
PO-000012,SUP-001,2024-07-09,2024-07-14,2024-07-14,234,234,Closed
PO-003011,SUP-016,2024-07-09,2024-07-18,2024-07-18,486,486,Closed
PO-004091,SUP-032,2024-07-09,2024-07-14,2024-07-18,388,388,Closed
PO-000019,SUP-001,2024-07-09,2024-07-12,2024-07-12,135,135,Closed
PO-000008,SUP-001,2024-07-10,2024-07-12,2024-07-13,380,380,Closed
PO-004342,SUP-039,2024-07-10,2024-07-13,2024-07-13,719,515,Closed
PO-002792,SUP-014,2024-07-10,2024-07-18,2024-07-18,347,347,Closed
PO-000015,SUP-001,2024-07-10,2024-07-14,2024-07-14,132,132,Closed
PO-001992,SUP-008,2024-07-10,2024-07-15,2024-07-15,155,155,Closed
PO-003422,SUP-020,2024-07-11,2024-07-14,2024-07-14,40,40,Closed
PO-001176,SUP-005,2024-07-11,2024-07-15,2024-07-15,491,491,Closed
PO-002472,SUP-011,2024-07-11,2024-07-15,2024-07-15,165,165,Closed
PO-001451,SUP-006,2024-07-11,2024-07-20,2024-07-20,207,207,Closed
PO-003734,SUP-023,2024-07-11,2024-07-14,2024-07-14,88,88,Closed
PO-001984,SUP-008,2024-07-11,2024-07-14,2024-07-14,208,208,Closed
PO-000011,SUP-001,2024-07-11,2024-07-16,2024-07-16,207,207,Closed
PO-000694,SUP-003,2024-07-12,2024-07-20,2024-07-20,390,390,Closed
PO-001181,SUP-005,2024-07-12,2024-07-17,2024-07-17,174,174,Closed
