merchant_id,month,txn_count,txn_value_gbp,declined_count,fee_revenue_gbp
M-0001,2026-01,185,7917.98,8,150.99
M-0001,2026-02,340,14267.69,15,263.22
M-0001,2026-03,494,19644.65,16,361.38
M-0001,2026-04,590,27313.12,25,520.83
M-0001,2026-05,802,31492.16,47,623.64
M-0001,2026-06,881,37535.58,48,723.62
M-0002,2024-01,77,6897.53,0,83.14
M-0002,2024-02,138,11530.92,6,137.59
M-0002,2024-03,189,17052.11,3,197.87
M-0002,2024-04,276,21963.25,3,270.92
M-0002,2024-05,308,26781.06,5,315.16
M-0002,2024-06,365,30270.64,7,363.98
M-0002,2024-07,359,29929.88,4,361.46
M-0002,2024-08,362,31714.68,11,371.15
M-0002,2024-09,342,31828.72,5,359.55
M-0002,2024-10,326,28820.37,7,345.11
M-0002,2024-11,374,31686.21,9,354.46
M-0002,2024-12,362,32273.0,9,376.95
M-0002,2025-01,394,32042.5,10,384.2
M-0002,2025-02,385,32531.82,7,390.59
M-0002,2025-03,353,31664.63,5,377.2
M-0002,2025-04,379,30834.23,10,365.57
M-0002,2025-05,345,29926.9,9,354.59
M-0002,2025-06,316,29254.15,16,344.08
M-0002,2025-07,244,20878.18,18,248.39
M-0002,2025-08,195,14770.73,6,173.39
M-0003,2024-01,763,14699.4,13,222.85
M-0003,2024-02,1001,18114.09,12,280.64
M-0003,2024-03,1051,20269.14,20,323.72
M-0003,2024-04,1059,20333.81,28,315.84
M-0003,2024-05,1036,20513.8,19,345.36
M-0003,2024-06,887,17601.69,22,274.93
M-0003,2024-07,1192,22789.8,27,377.16
M-0003,2024-08,1119,20843.73,20,325.28
M-0003,2024-09,989,19614.58,15,303.31
M-0003,2024-10,1108,18707.81,15,293.67
M-0003,2024-11,1063,21391.07,30,351.18
M-0003,2024-12,1672,30257.45,30,505.48
M-0003,2025-01,771,14460.73,13,232.52
M-0003,2025-02,1077,21640.47,18,346.25
M-0003,2025-03,1069,20543.74,21,322.38
M-0003,2025-04,1234,22664.62,29,387.76
M-0003,2025-05,930,19895.14,26,306.99
M-0003,2025-06,1204,22274.86,18,350.51
M-0003,2025-07,1432,26621.97,31,425.32
M-0003,2025-08,1163,23251.95,23,377.66
M-0003,2025-09,1218,22996.16,29,376.32
M-0003,2025-10,1114,21218.81,30,334.52
M-0003,2025-11,1198,21947.56,28,342.93
M-0003,2025-12,1573,26886.03,40,438.54
M-0003,2026-01,826,17103.05,14,273.68
M-0003,2026-02,1231,24914.87,32,406.02
M-0003,2026-03,1194,22749.46,20,363.32
M-0003,2026-04,1316,23943.93,47,377.47
M-0003,2026-05,1259,22814.48,16,365.53
M-0003,2026-06,1193,22715.31,26,356.98
M-0004,2025-05,459,8218.98,4,122.87
M-0004,2025-06,707,13185.03,22,210.57
M-0004,2025-07,1245,21443.99,31,334.3
M-0004,2025-08,1298,25457.35,32,401.25
M-0004,2025-09,1539,30913.5,44,492.03
M-0004,2025-10,1898,36453.55,39,582.9
M-0004,2025-11,1948,36878.37,47,621.06
M-0004,2025-12,2615,47551.75,46,790.62
M-0004,2026-01,1470,28846.57,18,456.56
M-0004,2026-02,1785,34404.59,43,572.96
M-0004,2026-03,1990,37580.27,43,617.72
M-0004,2026-04,1749,35647.58,38,586.22
M-0004,2026-05,2344,39067.92,44,606.63
M-0004,2026-06,2020,37461.65,39,591.27
M-0005,2024-01,260,11158.11,12,217.03
M-0005,2024-02,327,13871.49,20,258.55
M-0005,2024-03,306,14689.35,12,290.69
M-0005,2024-04,332,14473.24,12,285.44
M-0005,2024-05,365,14923.58,13,288.49
M-0005,2024-06,361,15989.52,18,305.3
M-0005,2024-07,347,13544.67,16,250.81
M-0005,2024-08,352,16096.9,23,304.9
M-0005,2024-09,352,14927.63,18,283.35
M-0005,2024-10,392,16700.42,16,319.09
M-0005,2024-11,462,20156.58,19,395.69
M-0005,2024-12,510,21626.03,24,401.57
M-0005,2025-01,315,13433.96,22,244.43
M-0005,2025-02,405,17073.19,28,308.63
M-0005,2025-03,383,16688.83,21,322.24
M-0005,2025-04,381,15031.47,23,287.99
M-0005,2025-05,396,16956.52,23,309.71
M-0005,2025-06,415,16292.16,28,305.0
M-0005,2025-07,377,14543.41,15,279.71
M-0005,2025-08,455,18479.26,15,348.82
M-0005,2025-09,394,16298.8,25,297.44
M-0005,2025-10,437,17095.51,16,330.03
M-0005,2025-11,504,21846.39,20,392.88
M-0005,2025-12,593,24227.13,33,456.41
M-0005,2026-01,407,15247.22,25,279.9
M-0005,2026-02,415,18294.08,21,335.48
M-0005,2026-03,493,18094.71,19,351.1
M-0005,2026-04,432,19496.18,27,387.7
M-0005,2026-05,425,17696.7,23,319.07
M-0005,2026-06,431,17959.53,20,361.0
M-0006,2024-02,42,1250.83,0,17.33
M-0006,2024-03,71,1973.84,4,27.73
M-0006,2024-04,100,2848.16,2,38.5
M-0006,2024-05,98,3081.19,2,42.21
M-0006,2024-06,145,4245.7,2,59.94
M-0006,2024-07,182,5006.61,2,69.16
M-0006,2024-08,167,4453.7,3,63.2
M-0006,2024-09,168,4489.98,5,66.08
M-0006,2024-10,173,5200.24,3,76.08
