order_id,order_date,promised_dispatch_date,actual_dispatch_date,lines_ordered,lines_shipped
SO-000001,2025-07-01,2025-07-01,2025-07-02,6,6
SO-000002,2025-07-01,2025-07-01,2025-07-01,12,12
SO-000003,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000004,2025-07-01,2025-07-01,2025-07-01,9,9
SO-000005,2025-07-01,2025-07-01,2025-07-01,8,8
SO-000006,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000007,2025-07-01,2025-07-01,2025-07-01,2,2
SO-000008,2025-07-01,2025-07-01,2025-07-01,9,9
SO-000009,2025-07-01,2025-07-01,2025-07-01,7,7
SO-000010,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000011,2025-07-01,2025-07-01,2025-07-01,4,3
SO-000012,2025-07-01,2025-07-01,2025-07-01,8,8
SO-000013,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000014,2025-07-01,2025-07-01,2025-07-01,8,7
SO-000015,2025-07-01,2025-07-01,2025-07-01,2,2
SO-000016,2025-07-01,2025-07-01,2025-07-01,3,3
SO-000017,2025-07-01,2025-07-01,2025-07-01,9,9
SO-000018,2025-07-01,2025-07-01,2025-07-01,7,7
SO-000019,2025-07-01,2025-07-01,2025-07-01,2,2
SO-000020,2025-07-01,2025-07-01,2025-07-01,4,3
SO-000021,2025-07-01,2025-07-01,2025-07-01,5,5
SO-000022,2025-07-01,2025-07-01,2025-07-01,3,3
SO-000023,2025-07-01,2025-07-01,2025-07-01,50,50
SO-000024,2025-07-01,2025-07-01,2025-07-01,14,14
SO-000025,2025-07-01,2025-07-01,2025-07-01,7,7
SO-000026,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000027,2025-07-01,2025-07-01,2025-07-01,6,6
SO-000028,2025-07-01,2025-07-01,2025-07-01,12,12
SO-000029,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000030,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000031,2025-07-01,2025-07-01,2025-07-01,3,3
SO-000032,2025-07-01,2025-07-01,2025-07-01,3,3
SO-000033,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000034,2025-07-01,2025-07-01,2025-07-01,9,9
SO-000035,2025-07-01,2025-07-01,2025-07-01,20,20
SO-000036,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000037,2025-07-01,2025-07-01,2025-07-01,8,8
SO-000038,2025-07-01,2025-07-01,2025-07-01,12,12
SO-000039,2025-07-01,2025-07-01,2025-07-01,5,5
SO-000040,2025-07-01,2025-07-01,2025-07-01,2,2
SO-000041,2025-07-01,2025-07-01,2025-07-01,11,11
SO-000042,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000043,2025-07-01,2025-07-01,2025-07-01,10,10
SO-000044,2025-07-01,2025-07-01,2025-07-01,7,7
SO-000045,2025-07-01,2025-07-01,2025-07-01,12,12
SO-000046,2025-07-01,2025-07-01,2025-07-01,17,17
SO-000047,2025-07-01,2025-07-01,2025-07-01,9,9
SO-000048,2025-07-01,2025-07-01,2025-07-01,4,4
SO-000049,2025-07-01,2025-07-01,2025-07-01,5,5
SO-000050,2025-07-01,2025-07-01,2025-07-01,2,2
SO-000051,2025-07-01,2025-07-01,2025-07-01,13,13
SO-000052,2025-07-01,2025-07-01,2025-07-01,6,6
SO-000053,2025-07-01,2025-07-01,2025-07-01,50,50
SO-000054,2025-07-01,2025-07-01,2025-07-01,1,1
SO-000055,2025-07-01,2025-07-01,2025-07-01,8,8
SO-000056,2025-07-01,2025-07-01,2025-07-01,13,13
SO-000057,2025-07-01,2025-07-01,2025-07-01,5,5
SO-000058,2025-07-01,2025-07-01,2025-07-01,3,3
SO-000059,2025-07-01,2025-07-01,2025-07-01,3,3
SO-000060,2025-07-01,2025-07-01,2025-07-02,4,4
SO-000061,2025-07-01,2025-07-01,2025-07-01,7,7
SO-000062,2025-07-01,2025-07-01,2025-07-01,14,14
SO-000063,2025-07-01,2025-07-01,2025-07-01,1,1
SO-000064,2025-07-01,2025-07-01,2025-07-01,17,17
SO-000065,2025-07-01,2025-07-01,2025-07-01,3,3
SO-000066,2025-07-01,2025-07-01,2025-07-01,13,13
SO-000067,2025-07-01,2025-07-01,2025-07-01,5,5
SO-000068,2025-07-01,2025-07-01,2025-07-01,5,5
SO-000069,2025-07-01,2025-07-01,2025-07-01,9,9
SO-000070,2025-07-01,2025-07-01,2025-07-01,10,10
SO-000071,2025-07-01,2025-07-01,2025-07-01,6,6
SO-000072,2025-07-01,2025-07-01,2025-07-01,2,2
SO-000073,2025-07-01,2025-07-01,2025-07-01,12,12
SO-000074,2025-07-01,2025-07-01,2025-07-01,2,2
SO-000075,2025-07-01,2025-07-01,2025-07-01,3,3
SO-000076,2025-07-01,2025-07-01,2025-07-01,1,1
SO-000077,2025-07-02,2025-07-02,2025-07-02,3,3
SO-000078,2025-07-02,2025-07-02,2025-07-02,1,1
SO-000079,2025-07-02,2025-07-02,2025-07-02,5,5
SO-000080,2025-07-02,2025-07-02,2025-07-02,6,6
SO-000081,2025-07-02,2025-07-02,2025-07-02,2,2
SO-000082,2025-07-02,2025-07-02,2025-07-02,9,9
SO-000083,2025-07-02,2025-07-02,2025-07-03,3,2
SO-000084,2025-07-02,2025-07-02,2025-07-02,3,3
