session_date,operative_id,zone,hours_worked,lines_picked,units_picked,mispicks
2025-07-01,OP-001,Returns,7.59,253,497,1
2025-07-01,OP-002,Bulk,7.03,347,765,1
2025-07-01,OP-004,Chilled Pick,7.64,473,1090,1
2025-07-01,OP-009,Ambient Pick,7.81,536,1500,1
2025-07-01,OP-010,Bulk,7.41,301,574,0
2025-07-01,OP-012,Ambient Pick,5.93,496,890,2
2025-07-01,OP-013,Ambient Pick,7.71,553,1746,2
2025-07-01,OP-017,Ambient Pick,7.07,602,973,2
2025-07-01,OP-018,Ambient Pick,8.11,709,1625,1
2025-07-01,OP-019,Chilled Pick,6.4,393,1121,3
2025-07-01,OP-020,Returns,7.01,260,857,2
2025-07-01,OP-021,Bulk,0.56,23,56,1
2025-07-01,OP-021,Ambient Pick,7.73,709,1810,1
2025-07-01,OP-022,Ambient Pick,7.86,528,868,2
2025-07-01,OP-025,Ambient Pick,8.3,675,1668,2
2025-07-01,OP-026,Returns,7.28,302,703,3
2025-07-01,OP-027,Ambient Pick,6.69,523,1134,2
2025-07-01,OP-028,Ambient Pick,7.28,542,1142,2
2025-07-01,OP-029,Bulk,8.52,341,546,0
2025-07-01,OP-033,Ambient Pick,6.87,639,2065,1
2025-07-01,OP-034,Ambient Pick,7.68,597,1885,0
2025-07-01,OP-035,Ambient Pick,6.98,524,867,5
2025-07-01,OP-036,Bulk,6.74,422,1000,0
2025-07-01,OP-037,Chilled Pick,7.92,528,1017,5
2025-07-01,OP-038,Bulk,7.19,239,651,0
2025-07-01,OP-042,Ambient Pick,7.46,609,1217,2
2025-07-01,OP-044,Chilled Pick,6.93,386,1005,4
2025-07-01,OP-048,Ambient Pick,0.93,69,154,1
2025-07-01,OP-048,Chilled Pick,6.45,327,951,6
2025-07-02,OP-001,Ambient Pick,7.75,715,1298,3
2025-07-02,OP-002,Bulk,7.08,291,542,1
2025-07-02,OP-004,Bulk,6.67,302,512,1
2025-07-02,OP-004,Ambient Pick,1.42,115,199,0
2025-07-02,OP-005,Bulk,7.03,344,637,2
2025-07-02,OP-007,Ambient Pick,4.74,245,547,3
2025-07-02,OP-007,Bulk,1.75,54,89,1
2025-07-02,OP-009,Ambient Pick,7.62,506,1035,2
2025-07-02,OP-010,Ambient Pick,8.81,834,2210,7
2025-07-02,OP-012,Returns,3.69,153,431,2
2025-07-02,OP-012,Ambient Pick,3.86,340,1039,2
2025-07-02,OP-013,Bulk,7.35,331,1109,2
2025-07-02,OP-017,Ambient Pick,7.67,597,1489,1
2025-07-02,OP-019,Bulk,7.98,341,733,0
2025-07-02,OP-020,Chilled Pick,7.56,426,728,3
2025-07-02,OP-022,Chilled Pick,7.82,363,1103,1
2025-07-02,OP-025,Ambient Pick,6.99,656,1896,2
2025-07-02,OP-026,Bulk,0.86,47,125,0
2025-07-02,OP-026,Ambient Pick,6.75,541,1114,1
2025-07-02,OP-028,Ambient Pick,8.24,702,1645,4
2025-07-02,OP-029,Bulk,7.27,323,1051,1
2025-07-02,OP-032,Chilled Pick,7.5,520,860,1
2025-07-02,OP-033,Bulk,6.04,299,496,0
2025-07-02,OP-033,Chilled Pick,2.28,146,365,0
2025-07-02,OP-034,Returns,1.75,65,146,2
2025-07-02,OP-034,Ambient Pick,6.48,540,1074,2
2025-07-02,OP-035,Ambient Pick,2.28,170,305,1
2025-07-02,OP-035,Chilled Pick,4.66,318,884,5
2025-07-02,OP-036,Returns,8.68,433,958,4
2025-07-02,OP-037,Ambient Pick,7.95,644,1791,4
2025-07-02,OP-038,Ambient Pick,7.15,492,1542,5
2025-07-02,OP-040,Bulk,7.97,420,932,2
2025-07-02,OP-044,Ambient Pick,6.98,410,692,0
2025-07-02,OP-046,Ambient Pick,7.32,542,1069,2
2025-07-02,OP-048,Bulk,8.14,333,538,1
2025-07-03,OP-001,Returns,6.97,272,558,1
2025-07-03,OP-002,Chilled Pick,7.41,478,1258,1
2025-07-03,OP-004,Ambient Pick,7.5,591,1197,2
2025-07-03,OP-005,Ambient Pick,7.56,557,1541,2
2025-07-03,OP-007,Ambient Pick,7.0,340,634,3
2025-07-03,OP-010,Bulk,6.94,333,1071,2
2025-07-03,OP-012,Chilled Pick,6.01,454,1513,3
2025-07-03,OP-012,Ambient Pick,1.25,104,345,0
2025-07-03,OP-013,Ambient Pick,8.22,740,2441,2
2025-07-03,OP-017,Chilled Pick,6.92,533,1545,0
2025-07-03,OP-018,Chilled Pick,7.71,542,948,2
2025-07-03,OP-020,Ambient Pick,7.78,519,1640,5
2025-07-03,OP-022,Ambient Pick,3.29,228,519,4
2025-07-03,OP-022,Chilled Pick,4.23,202,344,2
2025-07-03,OP-025,Ambient Pick,7.64,695,2105,1
2025-07-03,OP-026,Ambient Pick,7.88,691,1863,2
2025-07-03,OP-033,Ambient Pick,8.15,684,1761,4
2025-07-03,OP-034,Bulk,6.95,315,939,2
2025-07-03,OP-035,Bulk,7.47,307,700,1
2025-07-03,OP-036,Ambient Pick,6.54,641,1864,1
2025-07-03,OP-037,Chilled Pick,0.72,46,155,1
2025-07-03,OP-037,Bulk,6.32,294,872,0
2025-07-03,OP-038,Bulk,7.84,309,993,4
2025-07-03,OP-040,Chilled Pick,4.51,334,693,7
2025-07-03,OP-040,Returns,2.74,118,297,1
2025-07-03,OP-042,Chilled Pick,3.0,196,396,0
2025-07-03,OP-042,Bulk,4.27,191,541,2
2025-07-03,OP-044,Bulk,8.0,261,585,1
2025-07-03,OP-046,Ambient Pick,7.18,582,1642,2
2025-07-03,OP-048,Bulk,8.06,349,1028,3
2025-07-04,OP-001,Ambient Pick,7.93,684,2158,1
2025-07-04,OP-002,Ambient Pick,8.33,671,1608,2
2025-07-04,OP-004,Ambient Pick,9.44,712,1912,1
2025-07-04,OP-005,Bulk,7.34,362,939,1
2025-07-04,OP-007,Ambient Pick,7.52,377,1156,2
2025-07-04,OP-009,Ambient Pick,7.74,541,892,1
2025-07-04,OP-010,Chilled Pick,5.19,364,702,1
2025-07-04,OP-010,Ambient Pick,3.32,272,453,2
2025-07-04,OP-012,Ambient Pick,8.12,803,2614,3
2025-07-04,OP-013,Ambient Pick,7.87,626,1110,2
2025-07-04,OP-017,Chilled Pick,7.18,503,1556,3
2025-07-04,OP-018,Ambient Pick,7.51,677,1838,0
2025-07-04,OP-020,Bulk,3.6,172,454,0
2025-07-04,OP-020,Chilled Pick,3.62,241,770,2
2025-07-04,OP-022,Ambient Pick,4.84,326,792,2
2025-07-04,OP-022,Bulk,2.57,98,291,0
2025-07-04,OP-025,Ambient Pick,6.71,585,1012,1
2025-07-04,OP-026,Ambient Pick,6.75,567,1517,0
2025-07-04,OP-027,Bulk,7.49,312,624,0
2025-07-04,OP-028,Ambient Pick,8.02,674,2066,5
2025-07-04,OP-029,Bulk,7.91,322,661,0
2025-07-04,OP-032,Bulk,7.45,444,1412,3
2025-07-04,OP-033,Ambient Pick,7.63,805,2223,5
2025-07-04,OP-034,Ambient Pick,7.16,627,1732,3
2025-07-04,OP-035,Ambient Pick,7.44,588,1986,3
2025-07-04,OP-038,Ambient Pick,7.17,438,746,6
2025-07-04,OP-040,Ambient Pick,7.11,709,1381,7
2025-07-04,OP-042,Ambient Pick,8.63,620,1928,6
2025-07-04,OP-046,Bulk,8.19,314,701,1
2025-07-05,OP-001,Ambient Pick,8.08,614,983,2
2025-07-05,OP-002,Returns,7.81,281,727,2
2025-07-05,OP-004,Ambient Pick,6.95,558,1577,1
2025-07-05,OP-005,Ambient Pick,7.41,614,1500,5
2025-07-05,OP-009,Ambient Pick,8.45,598,1804,0
2025-07-05,OP-010,Ambient Pick,6.83,565,1636,3
2025-07-05,OP-012,Bulk,6.62,309,887,1
2025-07-05,OP-013,Chilled Pick,7.98,452,782,3
2025-07-05,OP-017,Ambient Pick,7.77,667,1116,4
2025-07-05,OP-018,Ambient Pick,6.53,524,1464,1
